case_id,case_type,disputed_amount,court_level,taxpayer_category,legal_grounds,case_duration_days,prior_compliance_score,representation,num_prior_disputes,taxpayer_risk_score,outcome
KRA-CASE-00214,Withholding Tax,19985624.67,Court of Appeal,SME,Procedural Error,1604,11,Legal Counsel,7,68,1
KRA-CASE-00215,Withholding Tax,72325611.94,Court of Appeal,Multinational,Statute of Limitations,885,22,Tax Consultant,1,50,1
KRA-CASE-00216,Excise Duty,18671847.61,High Court,Multinational,Transfer Pricing Dispute,1825,4,Self-Represented,3,42,1
KRA-CASE-00217,Customs Duty,45462190.36,High Court,SME,Statute of Limitations,1772,64,Legal Counsel,6,14,1
KRA-CASE-00218,Customs Duty,16291301.54,Tax Appeals Tribunal,SME,Statute of Limitations,58,94,Legal Counsel,9,72,0
KRA-CASE-00219,Withholding Tax,75740410.89,Tax Appeals Tribunal,Multinational,Valuation Dispute,1723,54,Legal Counsel,2,51,1
KRA-CASE-00220,Withholding Tax,9583741.32,Court of Appeal,SME,Double Taxation,43,33,Legal Counsel,14,96,0
KRA-CASE-00221,Customs Duty,95405780.52,Tax Appeals Tribunal,Large Corporation,Procedural Error,565,83,Legal Counsel,7,7,1
KRA-CASE-00222,Withholding Tax,11866573.54,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1443,15,Legal Counsel,9,47,1
KRA-CASE-00223,PAYE,22123881.53,Court of Appeal,SME,Input Tax Credit,1561,77,Legal Counsel,15,96,1
KRA-CASE-00224,PAYE,80209399.43,High Court,Large Corporation,Incorrect Assessment,1106,57,Legal Counsel,11,9,1
KRA-CASE-00225,PAYE,11265268.71,High Court,Multinational,Double Taxation,1202,68,Self-Represented,10,66,1
KRA-CASE-00226,Excise Duty,11668190.22,Tax Appeals Tribunal,SME,Incorrect Assessment,1075,57,Tax Consultant,14,16,1
KRA-CASE-00227,PAYE,41571686.16,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1511,2,Legal Counsel,0,95,0
KRA-CASE-00228,Income Tax,57852210.94,Tax Appeals Tribunal,SME,Incorrect Assessment,1138,7,Tax Consultant,2,60,1
KRA-CASE-00229,VAT,28744716.15,Tax Appeals Tribunal,Individual,Valuation Dispute,796,48,Legal Counsel,12,48,0
KRA-CASE-00230,VAT,68288898.89,High Court,SME,Exemption Claim,272,22,Tax Consultant,12,67,0
KRA-CASE-00231,Income Tax,72799421.18,Tax Appeals Tribunal,Individual,Procedural Error,641,59,Legal Counsel,13,68,1
KRA-CASE-00232,Excise Duty,82344875.72,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,416,92,Tax Consultant,1,84,1
KRA-CASE-00233,Excise Duty,61511574.56,Court of Appeal,Multinational,Double Taxation,452,8,Self-Represented,1,57,1
KRA-CASE-00234,PAYE,67218762.51,High Court,Individual,Procedural Error,853,56,Legal Counsel,6,96,1
KRA-CASE-00235,VAT,14056550.73,Court of Appeal,Individual,Exemption Claim,1212,76,Tax Consultant,10,30,1
KRA-CASE-00236,Customs Duty,87632019.3,Court of Appeal,SME,Valuation Dispute,645,35,Self-Represented,5,80,1
KRA-CASE-00237,Withholding Tax,42748698.2,Tax Appeals Tribunal,Multinational,Valuation Dispute,1639,67,Legal Counsel,13,52,1
KRA-CASE-00238,Income Tax,30023855.02,Tax Appeals Tribunal,SME,Double Taxation,1769,28,Legal Counsel,4,59,1
KRA-CASE-00239,VAT,56260475.66,Court of Appeal,SME,Statute of Limitations,825,31,Legal Counsel,10,82,1
KRA-CASE-00240,VAT,92226499.15,High Court,Individual,Double Taxation,135,34,Legal Counsel,1,9,1
KRA-CASE-00241,Income Tax,80474829.25,Tax Appeals Tribunal,Large Corporation,Double Taxation,1011,26,Tax Consultant,10,38,0
KRA-CASE-00242,VAT,21220186.82,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,526,89,Legal Counsel,6,50,0
KRA-CASE-00243,Income Tax,55230325.29,High Court,SME,Exemption Claim,661,33,Legal Counsel,15,59,0
KRA-CASE-00244,VAT,80291521.35,High Court,Large Corporation,Exemption Claim,446,47,Legal Counsel,1,72,1
KRA-CASE-00245,Income Tax,74138175.25,Tax Appeals Tribunal,SME,Valuation Dispute,634,19,Self-Represented,7,48,0
KRA-CASE-00246,PAYE,83344603.39,Tax Appeals Tribunal,Large Corporation,Exemption Claim,557,97,Tax Consultant,15,58,0
KRA-CASE-00247,Income Tax,73290585.09,Tax Appeals Tribunal,Individual,Input Tax Credit,406,69,Tax Consultant,1,67,0
KRA-CASE-00248,VAT,83914895.93,Tax Appeals Tribunal,Large Corporation,Procedural Error,1595,0,Legal Counsel,7,8,0
KRA-CASE-00249,Withholding Tax,15145413.16,Tax Appeals Tribunal,SME,Procedural Error,1295,81,Legal Counsel,15,84,0
KRA-CASE-00250,Excise Duty,1622390.1,Tax Appeals Tribunal,SME,Procedural Error,1114,92,Legal Counsel,9,2,1
KRA-CASE-00251,PAYE,81325064.23,High Court,Large Corporation,Statute of Limitations,249,12,Legal Counsel,7,24,1
KRA-CASE-00252,PAYE,52669275.74,High Court,SME,Valuation Dispute,191,47,Tax Consultant,14,72,1
KRA-CASE-00253,Income Tax,99023791.51,Tax Appeals Tribunal,Large Corporation,Incorrect Assessment,1368,83,Tax Consultant,2,51,1
KRA-CASE-00254,Excise Duty,37748098.37,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,199,63,Tax Consultant,10,72,1
KRA-CASE-00255,VAT,89484381.65,Court of Appeal,Individual,Input Tax Credit,585,5,Tax Consultant,8,69,1
KRA-CASE-00256,PAYE,65828018.59,Tax Appeals Tribunal,Multinational,Procedural Error,454,75,Self-Represented,12,9,1
KRA-CASE-00257,Customs Duty,16286902.56,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,1416,69,Legal Counsel,4,88,0
KRA-CASE-00258,Withholding Tax,7888847.72,High Court,SME,Incorrect Assessment,925,29,Tax Consultant,10,77,0
KRA-CASE-00259,PAYE,95488096.77,Tax Appeals Tribunal,Large Corporation,Procedural Error,1328,34,Tax Consultant,14,62,1
KRA-CASE-00260,Income Tax,35613329.21,Court of Appeal,SME,Valuation Dispute,205,98,Legal Counsel,7,91,1
KRA-CASE-00261,VAT,8249699.07,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,1544,49,Legal Counsel,3,11,1
KRA-CASE-00262,VAT,94298874.72,Tax Appeals Tribunal,Large Corporation,Incorrect Assessment,301,11,Self-Represented,14,71,1
KRA-CASE-00263,PAYE,51268462.8,Tax Appeals Tribunal,Individual,Incorrect Assessment,1252,76,Tax Consultant,12,1,1
KRA-CASE-00264,Customs Duty,41410316.47,High Court,Large Corporation,Double Taxation,1201,66,Self-Represented,12,21,1
KRA-CASE-00265,Income Tax,26928450.4,Tax Appeals Tribunal,Individual,Statute of Limitations,920,35,Legal Counsel,15,100,0
KRA-CASE-00266,VAT,36144434.98,Court of Appeal,Large Corporation,Input Tax Credit,1246,78,Self-Represented,3,17,1
KRA-CASE-00267,Customs Duty,726398.57,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,1676,42,Legal Counsel,13,83,0
KRA-CASE-00268,PAYE,13655640.93,Tax Appeals Tribunal,Multinational,Double Taxation,1011,40,Self-Represented,12,40,0
KRA-CASE-00269,Customs Duty,73500692.83,High Court,Multinational,Double Taxation,697,48,Legal Counsel,12,46,1
KRA-CASE-00270,VAT,93210111.9,Tax Appeals Tribunal,Multinational,Statute of Limitations,1426,98,Legal Counsel,14,90,1
KRA-CASE-00271,Income Tax,43873572.68,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,1408,63,Self-Represented,9,30,0
KRA-CASE-00272,Customs Duty,65883363.7,High Court,Large Corporation,Incorrect Assessment,949,76,Legal Counsel,12,68,1
KRA-CASE-00273,PAYE,92353400.61,High Court,SME,Procedural Error,1649,46,Legal Counsel,2,13,1
KRA-CASE-00274,Income Tax,65777284.38,Tax Appeals Tribunal,Large Corporation,Procedural Error,1183,82,Legal Counsel,12,96,1
KRA-CASE-00275,Customs Duty,96573391.93,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,484,65,Legal Counsel,7,57,1
KRA-CASE-00276,Customs Duty,39143860.16,High Court,SME,Statute of Limitations,736,3,Legal Counsel,9,53,1
KRA-CASE-00277,VAT,11651130.33,Court of Appeal,Individual,Transfer Pricing Dispute,732,58,Tax Consultant,15,44,1
KRA-CASE-00278,Excise Duty,9807421.96,High Court,SME,Incorrect Assessment,644,5,Tax Consultant,3,2,0
KRA-CASE-00279,Customs Duty,64814593.23,High Court,Individual,Double Taxation,1086,22,Legal Counsel,10,71,0
KRA-CASE-00280,Excise Duty,95848339.04,Tax Appeals Tribunal,SME,Statute of Limitations,411,81,Legal Counsel,12,3,1
KRA-CASE-00281,Withholding Tax,61429988.39,Tax Appeals Tribunal,SME,Valuation Dispute,39,90,Legal Counsel,8,96,0
KRA-CASE-00282,Withholding Tax,80882542.37,Tax Appeals Tribunal,Individual,Statute of Limitations,779,41,Self-Represented,3,33,0
KRA-CASE-00283,Withholding Tax,86270522.92,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,1281,50,Legal Counsel,11,45,1
KRA-CASE-00284,Excise Duty,61755399.8,High Court,Large Corporation,Transfer Pricing Dispute,1288,75,Self-Represented,4,40,1
KRA-CASE-00285,VAT,23895344.01,Tax Appeals Tribunal,SME,Statute of Limitations,1076,49,Legal Counsel,4,73,1
KRA-CASE-00286,Excise Duty,42332726.27,Tax Appeals Tribunal,SME,Statute of Limitations,1166,21,Legal Counsel,4,23,1
KRA-CASE-00287,Customs Duty,84206422.15,High Court,Multinational,Procedural Error,1022,17,Self-Represented,12,71,1
KRA-CASE-00288,PAYE,65324322.57,Tax Appeals Tribunal,SME,Input Tax Credit,1030,21,Self-Represented,0,97,0
KRA-CASE-00289,Income Tax,29244386.46,Tax Appeals Tribunal,SME,Statute of Limitations,1628,58,Legal Counsel,15,70,1
KRA-CASE-00290,PAYE,11365438.98,Tax Appeals Tribunal,Large Corporation,Exemption Claim,1140,96,Self-Represented,14,69,0
KRA-CASE-00291,Income Tax,98978084.0,Tax Appeals Tribunal,Large Corporation,Double Taxation,639,4,Legal Counsel,11,11,1
KRA-CASE-00292,Excise Duty,86535782.51,Tax Appeals Tribunal,Large Corporation,Double Taxation,1690,94,Legal Counsel,11,90,1
KRA-CASE-00293,PAYE,63295424.56,Tax Appeals Tribunal,Individual,Double Taxation,1696,26,Tax Consultant,11,68,0
KRA-CASE-00294,Customs Duty,59705925.7,Tax Appeals Tribunal,Multinational,Transfer Pricing Dispute,622,73,Legal Counsel,3,17,1
KRA-CASE-00295,Excise Duty,91880932.75,Court of Appeal,Multinational,Statute of Limitations,1466,16,Legal Counsel,10,31,1
KRA-CASE-00296,Withholding Tax,39300439.99,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,798,57,Self-Represented,2,51,1
KRA-CASE-00297,PAYE,74992748.17,High Court,Multinational,Input Tax Credit,1029,41,Legal Counsel,2,93,1
KRA-CASE-00298,Excise Duty,63502312.53,High Court,Multinational,Valuation Dispute,476,54,Tax Consultant,15,34,1
KRA-CASE-00299,Customs Duty,82842944.52,Tax Appeals Tribunal,SME,Input Tax Credit,1644,43,Tax Consultant,1,5,1
KRA-CASE-00300,VAT,62636643.24,High Court,Individual,Statute of Limitations,933,58,Self-Represented,13,25,1
KRA-CASE-00301,Withholding Tax,90945251.07,High Court,SME,Transfer Pricing Dispute,221,83,Legal Counsel,2,47,1
KRA-CASE-00302,Withholding Tax,90384836.87,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1516,89,Tax Consultant,13,83,1
KRA-CASE-00303,VAT,70384619.07,Tax Appeals Tribunal,SME,Statute of Limitations,1245,28,Legal Counsel,14,1,1
KRA-CASE-00304,VAT,69574930.87,High Court,Multinational,Valuation Dispute,1451,16,Legal Counsel,7,49,1
KRA-CASE-00305,VAT,73089800.01,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,310,48,Tax Consultant,4,82,1
KRA-CASE-00306,Withholding Tax,14328164.03,Tax Appeals Tribunal,Individual,Statute of Limitations,931,44,Legal Counsel,4,52,0
KRA-CASE-00307,PAYE,68672288.68,High Court,Individual,Incorrect Assessment,316,96,Self-Represented,12,44,1
KRA-CASE-00308,Excise Duty,31484641.63,Tax Appeals Tribunal,SME,Incorrect Assessment,538,70,Legal Counsel,9,99,1
KRA-CASE-00309,Withholding Tax,2731099.39,High Court,Multinational,Double Taxation,1090,77,Legal Counsel,12,37,1
KRA-CASE-00310,Withholding Tax,5504184.64,High Court,Multinational,Input Tax Credit,820,14,Legal Counsel,2,67,1
KRA-CASE-00311,VAT,98688909.16,Court of Appeal,Individual,Valuation Dispute,778,69,Legal Counsel,15,98,1
KRA-CASE-00312,VAT,1718105.71,Tax Appeals Tribunal,SME,Procedural Error,153,50,Legal Counsel,13,54,1
KRA-CASE-00313,Withholding Tax,40257627.19,High Court,SME,Statute of Limitations,598,10,Legal Counsel,6,19,1
KRA-CASE-00314,PAYE,32708692.11,Tax Appeals Tribunal,Large Corporation,Incorrect Assessment,665,89,Legal Counsel,7,7,0
KRA-CASE-00315,Income Tax,8666969.2,Tax Appeals Tribunal,SME,Procedural Error,663,85,Legal Counsel,5,15,1
KRA-CASE-00316,VAT,70804665.68,High Court,Individual,Exemption Claim,1101,66,Tax Consultant,8,21,1
KRA-CASE-00317,Customs Duty,12736714.22,High Court,SME,Incorrect Assessment,1609,3,Legal Counsel,13,34,1
KRA-CASE-00318,PAYE,6434005.31,High Court,SME,Incorrect Assessment,1046,58,Legal Counsel,1,63,1
KRA-CASE-00319,PAYE,16729795.2,Tax Appeals Tribunal,Large Corporation,Incorrect Assessment,497,94,Legal Counsel,1,1,1
KRA-CASE-00320,Income Tax,4645853.91,Tax Appeals Tribunal,Multinational,Statute of Limitations,1786,4,Legal Counsel,13,28,1
KRA-CASE-00321,Customs Duty,24863905.18,Court of Appeal,SME,Incorrect Assessment,1200,47,Self-Represented,1,22,1
KRA-CASE-00322,Income Tax,80443585.04,Court of Appeal,Multinational,Incorrect Assessment,982,36,Tax Consultant,9,41,1
KRA-CASE-00323,VAT,55331484.96,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,1544,79,Legal Counsel,11,75,1
KRA-CASE-00324,Excise Duty,99778822.27,High Court,Large Corporation,Double Taxation,338,0,Tax Consultant,0,29,1
KRA-CASE-00325,PAYE,34675048.59,High Court,Multinational,Exemption Claim,32,97,Legal Counsel,9,13,0
KRA-CASE-00326,Income Tax,53004958.18,Tax Appeals Tribunal,SME,Procedural Error,321,91,Legal Counsel,1,29,1
KRA-CASE-00327,PAYE,41335027.51,High Court,SME,Incorrect Assessment,1219,12,Legal Counsel,12,9,1
KRA-CASE-00328,PAYE,56803681.79,Tax Appeals Tribunal,Multinational,Double Taxation,627,33,Tax Consultant,12,89,0
KRA-CASE-00329,Withholding Tax,32658844.3,Tax Appeals Tribunal,Individual,Double Taxation,308,99,Tax Consultant,3,19,1
KRA-CASE-00330,VAT,16479279.32,Tax Appeals Tribunal,SME,Exemption Claim,1607,26,Legal Counsel,14,33,1
KRA-CASE-00331,VAT,9087567.76,High Court,SME,Procedural Error,470,41,Self-Represented,7,45,1
KRA-CASE-00332,Excise Duty,51370294.55,High Court,SME,Statute of Limitations,93,51,Tax Consultant,7,12,1
KRA-CASE-00333,Excise Duty,10235639.5,High Court,Individual,Procedural Error,1730,99,Tax Consultant,4,25,1
KRA-CASE-00334,Excise Duty,37255362.39,High Court,Large Corporation,Transfer Pricing Dispute,1694,9,Self-Represented,2,25,1
KRA-CASE-00335,Withholding Tax,44370960.82,Tax Appeals Tribunal,Multinational,Exemption Claim,280,5,Tax Consultant,1,21,0
KRA-CASE-00336,PAYE,43343979.91,High Court,SME,Valuation Dispute,1429,54,Self-Represented,6,23,1
KRA-CASE-00337,Customs Duty,28021462.7,High Court,Individual,Double Taxation,1355,37,Legal Counsel,15,7,1
KRA-CASE-00338,VAT,28013609.94,Tax Appeals Tribunal,Individual,Double Taxation,1321,69,Tax Consultant,12,100,0
KRA-CASE-00339,Withholding Tax,35943255.38,Tax Appeals Tribunal,SME,Exemption Claim,825,34,Self-Represented,10,76,0
KRA-CASE-00340,Income Tax,2978880.88,High Court,SME,Input Tax Credit,1114,45,Tax Consultant,7,20,1
KRA-CASE-00341,VAT,24823312.55,Tax Appeals Tribunal,SME,Procedural Error,1594,28,Legal Counsel,12,45,1
KRA-CASE-00342,Income Tax,17651231.74,Tax Appeals Tribunal,Large Corporation,Exemption Claim,1241,3,Legal Counsel,11,72,0
KRA-CASE-00343,PAYE,14253123.93,Court of Appeal,Large Corporation,Input Tax Credit,1140,39,Self-Represented,1,11,1
KRA-CASE-00344,VAT,23300704.64,Tax Appeals Tribunal,SME,Procedural Error,709,78,Legal Counsel,4,43,1
KRA-CASE-00345,Withholding Tax,17787114.27,High Court,Multinational,Procedural Error,74,18,Legal Counsel,4,99,1
KRA-CASE-00346,VAT,84655764.71,High Court,Multinational,Exemption Claim,1472,84,Legal Counsel,3,43,1
KRA-CASE-00347,Customs Duty,32294190.28,Court of Appeal,Large Corporation,Valuation Dispute,1651,81,Tax Consultant,10,22,1
KRA-CASE-00348,Withholding Tax,96875852.49,High Court,Multinational,Exemption Claim,487,85,Legal Counsel,5,48,1
KRA-CASE-00349,Customs Duty,73412797.59,Tax Appeals Tribunal,Individual,Procedural Error,1467,73,Legal Counsel,1,23,1
KRA-CASE-00350,PAYE,31855780.34,High Court,Large Corporation,Incorrect Assessment,1046,18,Legal Counsel,2,30,1
KRA-CASE-00351,Customs Duty,98238846.51,Tax Appeals Tribunal,Multinational,Incorrect Assessment,1712,90,Legal Counsel,10,57,1
KRA-CASE-00352,VAT,26557983.43,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,1641,13,Legal Counsel,1,49,0
KRA-CASE-00353,Excise Duty,73271820.23,Court of Appeal,Multinational,Input Tax Credit,805,44,Legal Counsel,3,61,1
KRA-CASE-00354,PAYE,65114407.83,High Court,Individual,Incorrect Assessment,1666,4,Legal Counsel,10,33,1
KRA-CASE-00355,VAT,7466330.16,Tax Appeals Tribunal,SME,Incorrect Assessment,1150,11,Legal Counsel,15,90,1
KRA-CASE-00356,VAT,43160767.25,High Court,Large Corporation,Valuation Dispute,351,6,Self-Represented,6,24,0
KRA-CASE-00357,Excise Duty,69734810.55,High Court,Large Corporation,Transfer Pricing Dispute,1382,36,Legal Counsel,3,6,1
KRA-CASE-00358,Excise Duty,57198392.3,High Court,Individual,Exemption Claim,37,54,Self-Represented,15,25,0
KRA-CASE-00359,VAT,2622282.49,Tax Appeals Tribunal,SME,Incorrect Assessment,999,14,Legal Counsel,12,60,0
KRA-CASE-00360,Excise Duty,89493004.47,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,408,47,Tax Consultant,11,23,1
KRA-CASE-00361,Excise Duty,4509461.62,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1185,7,Self-Represented,3,10,0
KRA-CASE-00362,Withholding Tax,34411949.09,Tax Appeals Tribunal,Multinational,Double Taxation,1163,7,Tax Consultant,13,68,1
KRA-CASE-00363,Withholding Tax,86696056.67,Tax Appeals Tribunal,Multinational,Input Tax Credit,642,10,Legal Counsel,1,64,1
KRA-CASE-00364,PAYE,90050483.39,High Court,Large Corporation,Statute of Limitations,276,96,Legal Counsel,5,27,1
KRA-CASE-00365,Income Tax,12662290.56,Tax Appeals Tribunal,Multinational,Valuation Dispute,443,80,Self-Represented,8,40,1
KRA-CASE-00366,Withholding Tax,91421684.99,Tax Appeals Tribunal,SME,Valuation Dispute,1160,41,Tax Consultant,14,1,1
KRA-CASE-00367,Withholding Tax,62324639.96,Tax Appeals Tribunal,SME,Valuation Dispute,336,18,Legal Counsel,3,13,0
KRA-CASE-00368,PAYE,77965492.46,High Court,Multinational,Exemption Claim,871,33,Legal Counsel,15,73,1
KRA-CASE-00369,PAYE,47331009.27,Tax Appeals Tribunal,SME,Valuation Dispute,109,50,Tax Consultant,10,88,0
KRA-CASE-00370,Income Tax,4976633.0,Tax Appeals Tribunal,SME,Exemption Claim,71,43,Tax Consultant,9,39,0
KRA-CASE-00371,Customs Duty,84292514.53,High Court,Large Corporation,Double Taxation,305,38,Tax Consultant,14,99,1
KRA-CASE-00372,Customs Duty,26978527.1,Tax Appeals Tribunal,Large Corporation,Double Taxation,934,27,Tax Consultant,13,94,1
KRA-CASE-00373,Excise Duty,75961354.86,High Court,Large Corporation,Statute of Limitations,164,39,Legal Counsel,12,17,1
KRA-CASE-00374,PAYE,87939292.51,Tax Appeals Tribunal,Individual,Double Taxation,1744,7,Legal Counsel,14,6,1
KRA-CASE-00375,Customs Duty,70478162.82,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,1331,15,Legal Counsel,7,47,1
KRA-CASE-00376,Excise Duty,59424657.17,Tax Appeals Tribunal,Multinational,Exemption Claim,735,20,Tax Consultant,8,95,1
KRA-CASE-00377,Withholding Tax,9084672.52,Tax Appeals Tribunal,Individual,Double Taxation,1785,28,Legal Counsel,6,34,0
KRA-CASE-00378,Withholding Tax,40980244.29,Tax Appeals Tribunal,Large Corporation,Procedural Error,1000,16,Legal Counsel,0,28,1
KRA-CASE-00379,Customs Duty,60853971.1,Court of Appeal,Large Corporation,Transfer Pricing Dispute,897,48,Tax Consultant,14,32,1
KRA-CASE-00380,Income Tax,46696466.65,High Court,Large Corporation,Valuation Dispute,1227,13,Self-Represented,11,71,0
KRA-CASE-00381,Withholding Tax,59397565.63,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,160,43,Tax Consultant,10,35,1
KRA-CASE-00382,Customs Duty,65629154.54,Court of Appeal,Large Corporation,Double Taxation,337,66,Tax Consultant,1,76,1
KRA-CASE-00383,Excise Duty,66070005.85,High Court,Large Corporation,Input Tax Credit,635,33,Tax Consultant,12,49,1
KRA-CASE-00384,Withholding Tax,3580134.53,High Court,SME,Double Taxation,732,92,Legal Counsel,15,85,0
KRA-CASE-00385,Customs Duty,50756119.82,High Court,Large Corporation,Statute of Limitations,631,12,Legal Counsel,8,92,0
KRA-CASE-00386,PAYE,76303675.92,Tax Appeals Tribunal,Large Corporation,Exemption Claim,1370,11,Legal Counsel,7,95,0
KRA-CASE-00387,Customs Duty,42076233.19,High Court,SME,Transfer Pricing Dispute,979,15,Legal Counsel,2,60,1
KRA-CASE-00388,Income Tax,50072713.58,High Court,SME,Transfer Pricing Dispute,876,6,Tax Consultant,4,17,1
KRA-CASE-00389,Income Tax,34299855.0,Court of Appeal,Multinational,Input Tax Credit,323,40,Tax Consultant,5,99,0
KRA-CASE-00390,VAT,48783705.53,High Court,Individual,Procedural Error,39,57,Legal Counsel,5,73,0
KRA-CASE-00391,Income Tax,48983230.21,High Court,Individual,Valuation Dispute,1327,54,Legal Counsel,15,49,0
KRA-CASE-00392,VAT,3820645.58,Tax Appeals Tribunal,SME,Procedural Error,689,96,Tax Consultant,6,2,1
KRA-CASE-00393,Withholding Tax,462177.21,High Court,Individual,Exemption Claim,669,16,Self-Represented,9,21,0
KRA-CASE-00394,VAT,82393190.78,Tax Appeals Tribunal,SME,Exemption Claim,918,87,Tax Consultant,10,62,1
KRA-CASE-00395,Customs Duty,75024052.45,Tax Appeals Tribunal,Multinational,Valuation Dispute,69,29,Legal Counsel,4,27,1
KRA-CASE-00396,Withholding Tax,2240231.54,Tax Appeals Tribunal,Individual,Procedural Error,798,81,Legal Counsel,1,76,0
KRA-CASE-00397,VAT,66213893.09,High Court,Individual,Incorrect Assessment,883,56,Legal Counsel,8,60,1
KRA-CASE-00398,Withholding Tax,15355053.46,High Court,Large Corporation,Transfer Pricing Dispute,891,84,Self-Represented,8,79,1
KRA-CASE-00399,PAYE,70087598.3,Tax Appeals Tribunal,Multinational,Incorrect Assessment,608,14,Tax Consultant,15,25,0
KRA-CASE-00400,PAYE,20014951.15,Tax Appeals Tribunal,SME,Double Taxation,763,90,Legal Counsel,5,5,1
KRA-CASE-00401,PAYE,49660653.6,Tax Appeals Tribunal,Multinational,Exemption Claim,510,0,Self-Represented,2,14,0
KRA-CASE-00402,PAYE,66918741.95,Tax Appeals Tribunal,Individual,Incorrect Assessment,1511,92,Self-Represented,8,82,0
KRA-CASE-00403,Income Tax,45702285.91,Court of Appeal,SME,Procedural Error,234,22,Tax Consultant,9,46,1
KRA-CASE-00404,Withholding Tax,31305075.34,High Court,Individual,Procedural Error,49,17,Legal Counsel,5,42,0
KRA-CASE-00405,Customs Duty,89458035.36,Court of Appeal,SME,Incorrect Assessment,793,43,Self-Represented,12,51,1
KRA-CASE-00406,Excise Duty,27219717.42,Tax Appeals Tribunal,Multinational,Valuation Dispute,1358,21,Self-Represented,1,20,1
KRA-CASE-00407,VAT,41631970.28,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,401,78,Legal Counsel,11,78,1
KRA-CASE-00408,VAT,86264448.66,High Court,Large Corporation,Statute of Limitations,1019,62,Self-Represented,13,56,1
KRA-CASE-00409,VAT,6380437.85,High Court,Individual,Double Taxation,1401,43,Legal Counsel,3,55,0
KRA-CASE-00410,Withholding Tax,72678864.24,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,334,71,Tax Consultant,1,1,1
KRA-CASE-00411,Withholding Tax,93440423.47,Tax Appeals Tribunal,SME,Input Tax Credit,1810,21,Self-Represented,15,41,0
KRA-CASE-00412,Income Tax,33122939.51,Tax Appeals Tribunal,SME,Valuation Dispute,855,30,Self-Represented,14,73,1
KRA-CASE-00413,Excise Duty,8847585.18,Tax Appeals Tribunal,SME,Input Tax Credit,1556,83,Self-Represented,12,52,0
KRA-CASE-00414,VAT,55735244.59,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,1071,71,Legal Counsel,14,43,1
KRA-CASE-00415,Customs Duty,82539833.51,High Court,Large Corporation,Exemption Claim,1177,98,Legal Counsel,15,91,1
KRA-CASE-00416,Withholding Tax,36361289.99,Tax Appeals Tribunal,Individual,Double Taxation,34,43,Legal Counsel,9,70,1
KRA-CASE-00417,PAYE,37420341.53,Tax Appeals Tribunal,Multinational,Input Tax Credit,317,91,Legal Counsel,13,13,1
KRA-CASE-00418,Customs Duty,61104634.03,Tax Appeals Tribunal,Multinational,Valuation Dispute,471,58,Tax Consultant,6,91,1
KRA-CASE-00419,Customs Duty,10821186.44,Tax Appeals Tribunal,Multinational,Incorrect Assessment,1611,57,Legal Counsel,4,63,1
KRA-CASE-00420,VAT,53059916.53,Tax Appeals Tribunal,Multinational,Input Tax Credit,1071,99,Tax Consultant,5,88,1
KRA-CASE-00421,PAYE,17406344.5,High Court,Individual,Exemption Claim,1062,49,Legal Counsel,7,35,0
KRA-CASE-00422,Excise Duty,96361174.09,Court of Appeal,SME,Statute of Limitations,312,52,Legal Counsel,9,89,1
KRA-CASE-00423,PAYE,86077719.24,High Court,Multinational,Double Taxation,441,26,Legal Counsel,9,87,1
KRA-CASE-00424,Customs Duty,92123116.85,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,1061,69,Legal Counsel,10,90,1
KRA-CASE-00425,VAT,76089463.73,Tax Appeals Tribunal,SME,Valuation Dispute,1410,95,Tax Consultant,9,54,1
KRA-CASE-00426,VAT,52296862.12,Tax Appeals Tribunal,Individual,Procedural Error,439,34,Tax Consultant,5,36,1
KRA-CASE-00427,Withholding Tax,25093572.7,High Court,Large Corporation,Transfer Pricing Dispute,447,96,Legal Counsel,11,57,1
KRA-CASE-00428,VAT,61630077.93,High Court,SME,Double Taxation,1550,82,Legal Counsel,7,65,1
KRA-CASE-00429,Withholding Tax,28799483.52,High Court,Multinational,Valuation Dispute,883,100,Tax Consultant,10,70,1
